,udisc_name,pdga_no,cur_rating,cur_udisc_rank,cur_udisc_index,cur_pdga_rank
0,Calvin Heimburg,45971,1051,1.0,60.53,1.0
1,Eagle McMahon,37817,1044,2.0,55.71,25.0
2,Paul McBeth,27523,1048,3.0,52.31,3.0
3,Gannon Buhr,75412,1044,4.0,50.57,2.0
4,Ricky Wysocki,38008,1047,5.0,47.71,4.0
5,Isaac Robinson,50670,1036,6.0,47.24,7.0
6,Simon Lizotte,8332,1039,7.0,43.77,5.0
7,Kyle Klein,85132,1037,8.0,33.2,8.0
8,Anthony Barela,44382,1038,9.0,32.85,12.0
9,Cole Redalen,79748,1031,10.0,32.6,37.0
10,Chris Dickerson,62467,1040,11.0,32.21,10.0
11,Corey Ellis,44512,1034,12.0,29.82,19.0
12,Matthew Orum,18330,1039,13.0,29.8,6.0
13,James Proctor,34250,1036,14.0,28.34,26.0
14,Ezra Robinson,50671,1028,15.0,23.62,56.0
15,Niklas Anttila,91249,1038,16.0,23.58,23.0
16,Lauri Lehtinen,82297,1029,17.0,22.44,79.0
17,Alden Harris,98091,1030,18.0,21.72,24.0
18,Bradley Williams,31644,1030,19.0,19.95,18.0
19,Kevin Jones,41760,1026,20.0,18.67,13.0
20,Joel Freeman,69509,1036,21.0,18.62,9.0
21,Ezra Aderhold,121715,1031,22.0,18.6,22.0
22,Adam Hammes,57365,1027,23.0,18.45,21.0
23,Andrew Presnell,63765,1028,24.0,16.92,31.0
24,Aaron Gossage,35449,1033,25.0,16.3,20.0
25,James Conrad,17295,1028,26.0,16.12,14.0
26,Ben Callaway,39015,1030,27.0,15.91,29.0
27,Nikko Locastro,11534,1029,28.0,15.26,54.0
28,Vaino Makela,59635,1029,29.0,15.13,15.0
29,Jesse Nieminen,58923,1021,30.0,15.09,
30,Mauri Villmann,107197,1024,31.0,14.36,
31,Chris Clemons,50401,1027,32.0,14.18,11.0
32,Paul Ulibarri,27171,1021,33.0,13.26,55.0
33,Emerson Keith,47472,1025,34.0,12.96,32.0
34,Joona Heinanen,58926,1022,35.0,12.94,41.0
35,Gregg Barsby,15857,1024,36.0,12.34,45.0
36,Drew Gibson,48346,1027,37.0,12.22,33.0
37,Andrew Marwede,75590,1030,38.0,12.2,43.0
38,Chandler Kramer,139228,1022,39.0,12.19,58.0
39,Mason Ford,72844,1032,40.0,12.18,16.0
40,Jakub Semerad,91925,1022,41.0,12.18,69.0
41,Evan Scott,89394,1021,42.0,12.17,68.0
42,Nate Sexton,18824,1024,43.0,12.02,17.0
43,Miro Ryhanen,,,44.0,11.86,
44,Matt Bell,48950,1025,45.0,11.8,51.0
45,Evan Smith,101574,1028,46.0,11.55,34.0
46,Garrett Gurthie,13864,1027,47.0,11.51,27.0
47,Gavin Babcock,80331,1018,48.0,11.41,44.0
48,Jake Hebenheimer,43762,1019,49.0,10.9,30.0
49,Mikael Hame,64889,1016,50.0,10.69,
50,Nestori Tuhkanen,110462,1012,51.0,10.1,
51,Eric Oakley,53565,1024,52.0,10.09,46.0
52,Austin Turner,54049,1021,53.0,9.84,39.0
53,Albert Tamm,76669,1020,54.0,9.69,38.0
54,Jeremy Koling,33705,1021,55.0,9.45,35.0
55,Sullivan Tipton,78817,1028,56.0,9.38,74.0
56,Casey White,81739,1017,57.0,9.26,72.0
57,Oyvind Jarnes,41884,1019,58.0,8.85,
58,Robert Burridge,96512,1020,59.0,8.63,48.0
59,Robert Burridge,96512,1020,59.0,8.63,48.0
60,Luke Humphries,69424,1016,60.0,8.62,60.0
61,Parker Welck,,,61.0,8.58,
62,Grady Shue,68285,1013,62.0,8.51,117.0
63,Daniel Davidsson,76456,1014,63.0,8.48,
64,Daniel Davidsson,76456,1014,63.0,8.48,
65,Silas Schultz,79047,1024,64.0,8.46,49.0
66,Austin Hannum,68835,1017,65.0,8.33,52.0
67,Luke Taylor,102119,1027,66.0,8.29,
68,Zach Arlinghaus,65266,1015,67.0,8.22,83.0
69,Brodie Smith,128378,1021,68.0,7.99,28.0
70,Linus Carlsson,82098,1011,69.0,7.94,42.0
71,Gavin Rathbun,60436,1023,70.0,7.68,40.0
72,Joseph Anderson,122356,1028,71.0,7.59,
73,Kevin Kiefer,97115,1018,72.0,7.41,62.0
74,Teemu Lampainen,107567,1019,73.0,7.18,
75,Tuomas Hyytiainen,65715,1015,74.0,7.04,78.0
76,Scott Stokely,3140,1017,75.0,7.04,
77,Rasmus Saukkoriipi,,,76.0,7.01,
78,Andrew Fish,58320,1017,77.0,6.88,80.0
79,Ty Love,89959,1023,78.0,6.87,65.0
80,Raven Newsom,88212,1008,79.0,6.72,96.0
81,Scott Withers,38464,1024,80.0,6.64,61.0
82,Kristian Kuoksa,,,81.0,6.38,
